epoch,ip_src,ip_dst,length,timestamp
1742585055.2168314,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.216831446
1742585055.218882,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.218882084
1742585055.2208393,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.220839262
1742585055.2228184,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.222818375
1742585055.2247941,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.224794149
1742585055.2267697,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.226769686
1742585055.2287495,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.228749514
1742585055.230733,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.230732918
1742585055.2327056,128.111.5.228,192.168.40.2,1213,2025-03-21 19:24:15.232705593
1742585055.6883123,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:15.688312292
1742585055.7874997,128.111.5.228,192.168.40.2,86,2025-03-21 19:24:15.787499666
1742585055.8288674,128.111.5.228,192.168.40.2,758,2025-03-21 19:24:15.828867435
1742585055.8328855,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:15.832885504
1742585055.8772724,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:15.877272367
1742585055.8773384,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.877338409
1742585055.8792927,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.879292727
1742585055.8813276,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.881327629
1742585055.8832572,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.883257151
1742585055.885282,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.885282040
1742585055.9468555,128.111.5.228,192.168.40.2,746,2025-03-21 19:24:15.946855545
1742585055.9524913,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:15.952491283
1742585055.9526024,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.952602386
1742585055.954501,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.954500914
1742585055.956895,128.111.5.228,192.168.40.2,527,2025-03-21 19:24:15.956895113
1742585055.960306,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:15.960305929
1742585055.9604037,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.960403681
1742585055.9604795,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.960479498
1742585055.962335,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.962335110
1742585055.9642665,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.964266539
1742585055.9662745,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.966274500
1742585055.9682145,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.968214512
1742585055.9701967,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.970196724
1742585055.9721687,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.972168684
1742585055.9742012,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.974201202
1742585055.9761274,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.976127386
1742585055.9781663,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.978166342
1742585055.9800837,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.980083704
1742585055.982114,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.982114077
1742585055.9840417,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.984041691
1742585055.986071,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.986071110
1742585055.987999,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.987998962
1742585055.9900336,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.990033627
1742585055.9920347,128.111.5.228,192.168.40.2,74,2025-03-21 19:24:15.992034674
1742585055.9921353,128.111.5.228,192.168.40.2,74,2025-03-21 19:24:15.992135286
1742585055.9922328,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:15.992232800
1742585055.9923313,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.992331266
1742585055.9943075,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.994307518
1742585055.9962847,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.996284723
1742585055.998316,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.998316050
1742585056.0002384,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:16.000238419
1742585056.0003579,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:16.000357866
1742585056.0004628,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.000462770
1742585056.0024996,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.002499580
1742585056.0044775,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.004477501
1742585056.0064583,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.006458282
1742585056.00843,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.008430004
1742585056.0104125,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.010412455
1742585056.0123951,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.012395144
1742585056.014375,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.014374971
1742585056.016351,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.016350984
1742585056.0182784,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.018278360
1742585056.0202549,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.020254850
1742585056.0222862,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.022286177
1742585056.0242064,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.024206400
1742585056.0262425,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.026242495
1742585056.0282168,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.028216839
1742585056.030208,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.030208111
1742585056.0321765,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.032176495
1742585056.0341513,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.034151316
1742585056.036131,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.036130905
1742585056.0389357,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.038935661
1742585056.0409703,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.040970325
1742585056.0429006,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.042900562
1742585056.0449235,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.044923544
1742585056.0519521,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:16.051952124
