Unnamed: 0,packet_count,total_bytes,avg_packet_size,avg_inter_packet_delay,std_inter_packet_delay,chunk_count,avg_ssim,avg_format,avg_chunk_size
1155,3068,4403184.0,1435.1968709256844,2.360286925334203,12.815091401881366,17,0.9761416470588236,1280x720-20,188640.29411764705
1156,2905,4194576.0,1443.9160068846816,2.464531680440772,14.785290075083688,15,0.9818025333333332,1280x720-20,202877.0
1157,2757,3977711.0,1442.7678636198766,2.7148040638606674,16.48548902304108,15,0.983469,1280x720-20,189137.9333333333
1158,2300,3306715.0,1437.7021739130437,3.3714658547194434,20.10185858678044,13,0.9840916923076922,1280x720-20,152977.46153846153
1159,1910,2732972.0,1430.875392670157,4.3478260869565215,24.72674173172644,13,0.9853903846153844,1280x720-20,115052.3846153846
1160,1479,2099067.0,1419.2474645030427,5.776048714479026,29.65246228739428,12,0.98569975,1280x720-20,73195.5
1161,1057,1480678.0,1400.8306527909176,8.613636363636363,38.83571121486947,13,0.9867033846153844,1280x720-20,74118.46153846153
1162,770,1072727.0,1393.151948051948,12.052015604681404,46.463066409252434,11,0.9967899090909088,1280x720-20,68683.90909090909
1163,567,776891.0,1370.178130511464,16.80565371024735,55.63784686138788,9,0.9990204444444444,1280x720-20,65252.333333333336
1164,453,611065.0,1348.9293598233996,20.884955752212388,62.37429868545592,5,0.9986442,1280x720-20,84030.4
1165,468,635101.0,1357.0534188034187,20.54603854389721,62.16886171174317,5,0.9982400000000002,1280x720-20,92260.6
1166,539,737560.0,1368.3858998144713,17.470260223048328,56.14267579046884,5,0.9982400000000002,1280x720-20,92260.6
1167,2625,3762760.0,1433.432380952381,2.9409298780487805,12.403988652896311,11,0.9723897272727274,1920x1080-22,333332.0909090909
1168,2751,3962645.0,1440.4380225372593,2.756727272727273,11.733375094466128,14,0.9761616428571428,1280x720-22,292142.5714285714
1169,3159,4570893.0,1446.94301994302,2.2691576947435084,8.99562232494957,16,0.9777265,1280x720-22,322337.875
1170,3036,4332766.0,1427.1297760210805,2.4207578253706754,11.180674257650306,9,0.9686337777777776,1920x1080-22,348053.0
1171,3279,4705546.0,1435.0551997560233,2.161378889566809,10.20757160993147,12,0.9713658333333334,1920x1080-22,334618.3333333333
1172,3024,4329517.0,1431.7185846560849,2.392987098908369,12.125912515174637,6,0.9628615,1280x720-22,281814.0
1173,1236,1719457.0,1391.1464401294495,7.112550607287449,26.64697011990905,8,0.964022125,1280x720-22,198742.0
1174,3368,4817274.0,1430.3070071258908,2.035937035937036,9.221793565907667,10,0.9590747,1280x720-20,304777.1
1175,3584,5158012.0,1439.177455357143,1.8264024560424224,8.021983859532897,12,0.9614553333333332,1280x720-20,307816.1666666667
1176,4019,5817550.0,1447.511818860413,1.542309606769537,6.322849352468335,13,0.9627583076923076,1280x720-20,312247.0
1177,4307,6260857.0,1453.646853958672,1.3569437993497446,4.930505848214288,14,0.9641112857142856,1280x720-20,330721.28571428574
1178,3207,4534911.0,1414.066417212348,2.2024329382407983,9.892996146052756,9,0.970672,1920x1080-22,473420.0
1179,3403,4862946.0,1429.017337643256,2.004409171075838,8.805544019861818,10,0.9717573,1920x1080-22,532544.3
1180,3878,5582011.0,1439.4045899948428,1.6628836729429972,6.921356917073404,10,0.9717573,1920x1080-22,532544.3
1181,3245,4651421.0,1433.4117103235749,2.221639950678175,9.562656651932258,13,0.970261923076923,1280x720-20,281494.76923076925
1182,3150,4529374.0,1437.896507936508,2.225785963798032,9.486204758363876,16,0.97572725,1280x720-20,237508.4375
